"REF_DATE","GEO","DGUID","Supply and disposition","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-04","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","574210.0","","","","1"
"2022-05","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","296077.0","","","","1"
"2022-06","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","167521.0","","","","1"
"2022-07","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","147001.0","","","","1"
"2022-08","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","150293.0","","","","1"
"2022-09","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","180201.0","","","","1"
"2022-10","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","386952.0","","","","1"
"2022-11","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","648866.0","","","","1"
"2022-12","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","824868.0","","","","1"
"2023-01","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","864194.0","","","","1"
"2023-02","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","1218533.0","","","","1"
"2023-03","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","989535.0","","","","1"
"2023-04","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","526792.0","","","","1"
"2023-05","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","299266.0","","","","1"
